iter	Accuracy	Logloss
0	0.7480011422	0.6807070216
1	0.7624214734	0.6678720505
2	0.7585665334	0.656969524
3	0.7577098801	0.6450177395
4	0.7671330668	0.6350825296
5	0.7671330668	0.6251661544
6	0.767704169	0.6162864221
7	0.7698458024	0.6071115757
8	0.7705596802	0.5985549769
9	0.7711307824	0.5910503297
10	0.772558538	0.5831821497
11	0.7744146202	0.5760746119
12	0.7772701314	0.5701846493
13	0.7761279269	0.5631738247
14	0.7762707025	0.5568113665
15	0.7775556825	0.5507274729
16	0.7788406625	0.5461675191
17	0.7796973158	0.5408146409
18	0.7785551114	0.5362552818
19	0.7781267847	0.532621781
20	0.7792689891	0.5283935857
21	0.7785551114	0.5247054194
22	0.7784123358	0.5212391043
23	0.7791262136	0.5177044367
24	0.7785551114	0.513782379
25	0.780268418	0.5107000082
26	0.7812678469	0.5081479193
27	0.7819817247	0.5056923779
28	0.7822672758	0.5031993236
29	0.7834094803	0.500361189
30	0.7835522559	0.4980527461
31	0.7836950314	0.4954830349
32	0.785122787	0.493227545
33	0.7849800114	0.4905051828
34	0.7874071959	0.4884246975
35	0.7874071959	0.4868916469
36	0.7888349515	0.4848418664
37	0.7888349515	0.4825891916
38	0.7904054826	0.4797537896
39	0.7914049115	0.4778786739
40	0.7908338093	0.4757327219
41	0.7911193604	0.4743064366
42	0.7911193604	0.4733944651
43	0.7908338093	0.4712094021
44	0.791547687	0.4692901764
45	0.7929754426	0.4672760196
46	0.7932609937	0.4656254827
47	0.7938320959	0.4640123076
48	0.7942604226	0.4626962103
49	0.7935465448	0.4605237184
50	0.7942604226	0.4593966769
51	0.7945459737	0.4578823266
52	0.7948315248	0.4561245819
53	0.7961165049	0.45494983
54	0.7965448315	0.4534940165
55	0.7975442604	0.4516892575
56	0.7974014849	0.4507819113
57	0.7988292404	0.4492611705
58	0.7988292404	0.4483548386
59	0.798972016	0.447082906
60	0.7994003427	0.4461702422
61	0.7999714449	0.44528187
62	0.8009708738	0.4444660803
63	0.8008280982	0.4434610824
64	0.8006853227	0.4422750655
65	0.8013992005	0.4412272677
66	0.8009708738	0.4402920925
67	0.801541976	0.4394075445
68	0.8021130782	0.4384992596
69	0.8018275271	0.4374463848
70	0.8025414049	0.4368040529
71	0.8025414049	0.4360894692
72	0.8031125071	0.435116012
73	0.8032552827	0.4339764703
74	0.8035408338	0.4331900119
75	0.8038263849	0.4325409551
76	0.8033980583	0.4317247176
77	0.8035408338	0.4310709406
78	0.8039691605	0.4303237807
79	0.8042547116	0.4295731222
80	0.8046830383	0.4291093496
81	0.8045402627	0.4284768135
82	0.805396916	0.4277026895
83	0.8052541405	0.426988027
84	0.8056824672	0.4263336481
85	0.8062535694	0.4257420483
86	0.8065391205	0.4253596499
87	0.8069674472	0.4248746157
88	0.8068246716	0.4244308342
89	0.8068246716	0.4239387076
90	0.8066818961	0.423116975
91	0.8068246716	0.4224665879
92	0.8071102227	0.421811099
93	0.8079668761	0.4210641336
94	0.8082524272	0.42036037
95	0.8083952027	0.4197801151
96	0.808966305	0.419147959
97	0.808966305	0.4185118359
98	0.8091090805	0.4177219107
99	0.8099657339	0.416965443
100	0.8106796117	0.4163116834
101	0.8106796117	0.4158722745
102	0.8105368361	0.41529415
103	0.8108223872	0.4145302977
104	0.8112507139	0.4139338003
