iter	Passed	Remaining
0	88	175950
1	93	93878
2	99	66055
3	107	53628
4	117	46881
5	126	41929
6	136	38920
7	145	36166
8	151	33535
9	158	31499
10	164	29769
11	173	28732
12	180	27513
13	189	26822
14	195	25921
15	205	25496
16	210	24573
17	215	23748
18	221	23131
19	228	22622
20	233	22013
21	239	21532
22	247	21298
23	252	20823
24	257	20368
25	263	19975
26	268	19589
27	273	19267
28	278	18930
29	283	18617
30	291	18483
31	297	18326
32	302	18057
33	307	17804
34	312	17560
35	318	17348
36	322	17130
37	327	16918
38	332	16742
39	337	16556
40	342	16386
41	350	16324
42	355	16166
43	360	16014
44	365	15884
45	370	15741
46	375	15613
47	381	15514
48	386	15389
49	392	15302
50	401	15328
51	407	15277
52	414	15237
53	422	15243
54	431	15259
55	437	15186
56	443	15104
57	449	15048
58	455	14984
59	461	14937
60	467	14871
61	474	14816
62	480	14762
63	486	14703
64	492	14668
65	498	14615
66	506	14619
67	514	14628
68	519	14547
69	526	14527
70	533	14483
71	539	14433
72	544	14386
73	552	14367
74	559	14372
75	566	14351
76	575	14377
77	581	14330
78	587	14283
79	595	14285
80	601	14254
81	609	14265
82	617	14266
83	623	14220
84	635	14315
85	642	14301
86	648	14252
87	655	14251
88	661	14195
89	670	14228
90	679	14250
91	685	14226
92	692	14203
93	703	14267
94	710	14244
95	719	14261
96	726	14245
97	736	14287
98	743	14276
99	749	14240
100	757	14244
101	764	14217
102	770	14186
103	776	14153
104	782	14119
105	789	14099
106	795	14069
107	801	14047
108	808	14027
109	815	14004
110	821	13977
111	828	13960
112	835	13959
113	840	13911
114	848	13899
115	854	13881
116	859	13834
117	865	13809
118	873	13799
119	878	13762
120	885	13749
121	892	13733
122	897	13701
123	904	13688
124	911	13667
125	917	13648
126	925	13648
127	933	13649
128	940	13642
129	948	13648
130	955	13635
131	960	13596
132	965	13555
133	972	13538
134	977	13501
135	982	13463
136	988	13448
137	993	13410
138	1000	13390
139	1005	13353
140	1009	13315
141	1017	13317
142	1022	13280
143	1027	13249
144	1032	13213
145	1037	13175
146	1042	13138
147	1047	13111
148	1052	13075
149	1057	13040
150	1062	13008
151	1067	12982
152	1075	12986
153	1082	12980
154	1088	12956
155	1095	12950
156	1100	12924
157	1107	12916
158	1113	12890
159	1121	12893
160	1128	12886
161	1133	12859
162	1140	12849
163	1146	12830
164	1151	12802
165	1157	12783
166	1164	12781
167	1172	12786
168	1178	12768
169	1185	12757
170	1192	12758
171	1198	12736
172	1205	12734
173	1211	12718
174	1217	12692
175	1224	12691
176	1230	12669
177	1245	12745
178	1261	12838
179	1271	12854
180	1278	12849
181	1290	12886
182	1294	12857
183	1299	12826
184	1310	12855
185	1322	12897
186	1327	12872
187	1332	12845
188	1337	12817
189	1343	12795
190	1349	12785
191	1363	12839
192	1369	12818
193	1378	12836
194	1388	12854
195	1393	12829
196	1399	12806
197	1404	12779
198	1408	12751
199	1415	12736
200	1425	12757
201	1432	12748
202	1443	12776
203	1451	12780
204	1461	12793
205	1472	12824
206	1478	12804
207	1484	12785
208	1488	12758
209	1493	12731
210	1499	12712
211	1512	12756
212	1524	12787
213	1536	12821
214	1545	12831
215	1552	12824
216	1561	12829
217	1568	12820
218	1577	12826
219	1582	12800
220	1586	12774
221	1591	12749
222	1599	12746
223	1613	12790
224	1628	12846
225	1634	12828
226	1639	12802
227	1644	12778
228	1651	12770
229	1663	12801
230	1676	12839
231	1685	12841
232	1690	12822
233	1702	12846
234	1712	12860
235	1727	12915
